date,season,neutral,playoff,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,carm-elo1_pre,carm-elo2_pre,carm-elo_prob1,carm-elo_prob2,carm-elo1_post,carm-elo2_post,raptor1_pre,raptor2_pre,raptor_prob1,raptor_prob2,score1,score2,quality,importance,total_rating
2012-11-15,2013,0,,SAS,NYK,1685.1508,1594.3969,0.7498978788040719,0.2501021211959281,1673.9574,1605.5902,,,,,,,,,,,100,104,95,"",""
2012-11-15,2013,0,,BRK,BOS,1425.2172,1585.342,0.4143269819760024,0.5856730180239976,1433.877,1576.6823,,,,,,,,,,,102,97,46,"",""
2012-11-15,2013,0,,DEN,MIA,1573.6466,1651.2421,0.5321980493473699,0.4678019506526301,1566.0193,1658.8694,,,,,,,,,,,93,98,90,"",""
2012-11-16,2013,0,,PHI,UTA,1505.9783,1538.1224,0.5964295260083112,0.40357047399168877,1511.8983,1532.2024,,,,,,,,,,,99,93,56,"",""
2012-11-16,2013,0,,NOP,OKC,1453.2588,1643.9785,0.3723322016208427,0.6276677983791573,1443.9114,1653.3259,,,,,,,,,,,95,110,66,"",""
2012-11-16,2013,0,,MEM,NYK,1636.2585,1605.5902,0.6796550920580143,0.32034490794198567,1642.2781,1599.5707,,,,,,,,,,,105,95,92,"",""
2012-11-16,2013,0,,POR,HOU,1458.5709,1499.2172,0.5845954881793498,0.4154045118206502,1462.4033,1495.3848,,,,,,,,,,,119,117,36,"",""
2012-11-16,2013,0,,DET,ORL,1422.5892,1421.3483,0.6417090099622418,0.3582909900377582,1413.7571,1430.1804,,,,,,,,,,,106,110,15,"",""
2012-11-16,2013,0,,MIN,GSW,1443.3126,1428.04,0.6600601834192659,0.33993981658073413,1430.1093,1441.2434,,,,,,,,,,,98,106,19,"",""
2012-11-16,2013,0,,SAC,ATL,1383.1346,1542.999,0.41469077201693966,0.5853092279830603,1372.0076,1554.1261,,,,,,,,,,,96,112,28,"",""
2012-11-16,2013,0,,LAL,PHO,1529.924,1503.223,0.6746625271903036,0.3253374728096964,1536.7986,1496.3484,,,,,,,,,,,114,102,54,"",""
2012-11-16,2013,0,,IND,DAL,1529.6305,1509.1747,0.666722696101072,0.33327730389892796,1539.5891,1499.2161,,,,,,,,,,,103,83,55,"",""
2012-11-17,2013,0,,BOS,TOR,1576.6823,1420.8236,0.8134888308514641,0.18651116914853594,1581.3983,1416.1075,,,,,,,,,,,107,89,44,"",""
2012-11-17,2013,0,,SAS,DEN,1673.9574,1566.0193,0.7679885184667744,0.2320114815332256,1681.8019,1558.1748,,,,,,,,,,,126,100,91,"",""
2012-11-17,2013,0,,CLE,DAL,1349.272,1499.2161,0.4286156876147019,0.5713843123852981,1341.788,1506.7001,,,,,,,,,,,95,103,14,"",""
2012-11-17,2013,0,,WAS,UTA,1397.8965,1532.2024,0.4507896652847661,0.549210334715234,1390.5143,1539.5846,,,,,,,,,,,76,83,29,"",""
2012-11-17,2013,0,,CHO,MEM,1277.9077,1642.2781,0.1791909717649222,0.8208090282350777,1275.4191,1644.7667,,,,,,,,,,,87,94,20,"",""
2012-11-17,2013,0,,LAC,CHI,1595.3176,1587.5032,0.6503617221754224,0.34963827782457757,1606.2277,1576.5931,,,,,,,,,,,101,80,84,"",""
2012-11-17,2013,0,,PHO,MIA,1496.3484,1658.8694,0.41098382017925345,0.5890161798207465,1488.7286,1666.4891,,,,,,,,,,,88,97,78,"",""
2012-11-17,2013,0,,MIL,NOP,1532.9365,1443.9114,0.7480267755150072,0.2519732244849928,1535.705,1441.1429,,,,,,,,,,,117,113,40,"",""
2012-11-18,2013,0,,LAL,HOU,1536.7986,1495.3848,0.6929704306381342,0.30702956936186576,1542.873,1489.3103,,,,,,,,,,,119,108,53,"",""
2012-11-18,2013,0,,OKC,GSW,1653.3259,1441.2434,0.8577212840487619,0.1422787159512381,1655.689,1438.8804,,,,,,,,,,,119,109,65,"",""
2012-11-18,2013,0,,POR,CHI,1462.4033,1576.5931,0.47959058286044093,0.520409417139559,1471.9618,1567.0347,,,,,,,,,,,102,94,54,"",""
2012-11-18,2013,0,,SAC,BRK,1372.0076,1433.877,0.5546550844090821,0.44534491559091793,1360.87,1445.0145,,,,,,,,,,,90,99,10,"",""
2012-11-18,2013,0,,TOR,ORL,1416.1075,1430.1804,0.6211979807739626,0.3788020192260374,1423.9132,1422.3748,,,,,,,,,,,97,86,15,"",""
2012-11-18,2013,0,,NYK,IND,1599.5707,1539.5891,0.7152311784489676,0.28476882155103245,1605.446,1533.7137,,,,,,,,,,,88,76,77,"",""
2012-11-18,2013,0,,PHI,CLE,1511.8983,1341.788,0.8256174203548049,0.1743825796451951,1514.311,1339.3752,,,,,,,,,,,86,79,14,"",""
2012-11-18,2013,0,,DET,BOS,1413.7571,1581.3983,0.4038679952265772,0.5961320047734229,1434.4039,1560.7515,,,,,,,,,,,103,83,43,"",""
2012-11-19,2013,0,,MEM,DEN,1644.7667,1558.1748,0.7453776087909509,0.25462239120904906,1632.4349,1570.5066,,,,,,,,,,,92,97,87,"",""
2012-11-19,2013,0,,ATL,ORL,1554.1261,1422.3748,0.7915126876386696,0.20848731236133045,1557.55,1418.9508,,,,,,,,,,,81,72,39,"",""
2012-11-19,2013,0,,CHO,MIL,1275.4191,1535.705,0.2844121793688125,0.7155878206311874,1285.8018,1525.3223,,,,,,,,,,,102,98,8,"",""
2012-11-19,2013,0,,DAL,GSW,1506.7001,1438.8804,0.7243310497682083,0.2756689502317917,1496.1174,1449.463,,,,,,,,,,,101,105,33,"",""
